proposed_handle,taxonomy_pillar,products_count,merged_from_count,merged_from,proposed_url
dji-mini-4-pro-antennas,Spare Parts,130,0,,/collections/dji-mini-4-pro-antennas
drone-propellers-quiet,Spare Parts,128,0,,/collections/drone-propellers-quiet
repair-precision-tools,Spare Parts,36,0,,/collections/repair-precision-tools
usb-cables-usb-c-for-usb-c,Spare Parts,23,0,,/collections/usb-cables-usb-c-for-usb-c
dji-matrice-350-rtk-antennas,Spare Parts,17,0,,/collections/dji-matrice-350-rtk-antennas
screwdriver-sets,Spare Parts,6,0,,/collections/screwdriver-sets
mounts-adapters-action-cameras,Spare Parts,5,0,,/collections/mounts-adapters-action-cameras
repair-dji-neo-spare-parts,Spare Parts,4,0,,/collections/repair-dji-neo-spare-parts
drone-cameras,Spare Parts,3,0,,/collections/drone-cameras
precision-tools,Spare Parts,2,0,,/collections/precision-tools
enterprise-propellers,Spare Parts,1,0,,/collections/enterprise-propellers
